exchange:husdtcpp, pre_coin:LAT, post_coin:USDT, p&l:-0.07002386207068223 USDT
exchange:binancefutureqt, pre_coin:BNB, post_coin:USD, p&l:0.02992628759815008 USD
exchange:okex, pre_coin:SC, post_coin:USDT, p&l:0.005235493308116235 USDT
exchange:huobi, pre_coin:LTC, post_coin:USDT, p&l:-0.0004927699075111258 USDT
exchange:husdtpp, pre_coin:BSV, post_coin:USDT, p&l:0.005393664156938316 USDT
exchange:husdtpp, pre_coin:FORTH, post_coin:USDT, p&l:0.005071720749803221 USDT
exchange:husdtcpp, pre_coin:YFII, post_coin:USDT, p&l:0.005956756657733209 USDT
exchange:husdtcpp, pre_coin:AVAX, post_coin:USDT, p&l:0.011291929594848593 USDT
exchange:husdtpp, pre_coin:XLM, post_coin:USDT, p&l:0.010767148038677066 USDT
exchange:husdtcpp, pre_coin:YFI, post_coin:USDT, p&l:0.0048100093591649795 USDT
exchange:ftxfuturetw, pre_coin:YFI, post_coin:USD, p&l:-0.010370566637173395 USD
exchange:binancefuturepp, pre_coin:HBAR, post_coin:USDT, p&l:-0.04594510822064535 USDT
exchange:huobi, pre_coin:FIL, post_coin:USDT, p&l:-0.0034252931831434408 USDT
exchange:ftxfuturepp, pre_coin:ETH, post_coin:USD, p&l:-0.0017786087893582048 USD
exchange:ftxfuturepp, pre_coin:SXP, post_coin:USD, p&l:0.01481285840258173 USD
exchange:binance, pre_coin:ALGO, post_coin:BTC, p&l:0 BTC
exchange:huobi, pre_coin:USDC, post_coin:USDT, p&l:0 USDT
exchange:okexfuturenw, pre_coin:TRX, post_coin:USD, p&l:0.001980590215884259 USD
exchange:okexfutureqt, pre_coin:BSV, post_coin:USD, p&l:-0.003470660868198472 USD
exchange:husdtcpp, pre_coin:NEO, post_coin:USDT, p&l:0.0028158761147449862 USDT
exchange:okexfuturetw, pre_coin:BTC, post_coin:USD, p&l:0.00020957209059302428 USD
exchange:huobi, pre_coin:ALGO, post_coin:BTC, p&l:0 BTC
exchange:huobi, pre_coin:LRC, post_coin:BTC, p&l:-0.00000000000000011102230246251565 BTC
exchange:okexfuturenw, pre_coin:ETH, post_coin:USD, p&l:0.0042079120529796565 USD
exchange:binance, pre_coin:KEEP, post_coin:USDT, p&l:-0.03885522288165488 USDT
exchange:ftxfuturetw, pre_coin:OMG, post_coin:USD, p&l:0.009348612786489907 USD
exchange:okex, pre_coin:XCH, post_coin:USDT, p&l:-0.9999827473527556 USDT
exchange:husdtcpp, pre_coin:DOT, post_coin:USDT, p&l:0.012880965082024964 USDT
exchange:binance, pre_coin:BTC, post_coin:USDT, p&l:0.001859164349055753 USDT
exchange:okex, pre_coin:BSV, post_coin:USDT, p&l:0.001505465948388407 USDT
exchange:binance, pre_coin:CHZ, post_coin:BUSD, p&l:0.03862467672652392 BUSD
exchange:binance, pre_coin:DASH, post_coin:USDT, p&l:0.009683276204595082 USDT
exchange:ftxfuturepp, pre_coin:DASH, post_coin:USD, p&l:0.007498851550274965 USD
exchange:binance, pre_coin:USDC, post_coin:USDT, p&l:0 USDT
exchange:binancefuturepp, pre_coin:KEEP, post_coin:USDT, p&l:-0.061015476060619966 USDT
exchange:ftxfuturepp, pre_coin:HNT, post_coin:USD, p&l:-0.00808141069961632 USD
exchange:husdtcpp, pre_coin:MKR, post_coin:USDT, p&l:0.00039758530414935045 USDT
exchange:binance, pre_coin:RUNE, post_coin:USDT, p&l:0.017126566511276975 USDT
exchange:binance, pre_coin:ALICE, post_coin:BTC, p&l:0 BTC
exchange:huobi, pre_coin:SOL, post_coin:BTC, p&l:0.01811131465592042 BTC
exchange:binance, pre_coin:PAXG, post_coin:USDT, p&l:0 USDT
exchange:binance, pre_coin:FTT, post_coin:BTC, p&l:0 BTC
exchange:ftx, pre_coin:SOL, post_coin:USD, p&l:0.02835271048243193 USD
